CustomerID,Name,Age,Gender,Annual_Income,Spending_Score,Membership_Level,Purchase_Frequency,Churn_Status
CUST1000,Connor Rowland,40,Female,52777,27,Gold,5.2,0
CUST1001,Cameron Miles MD,28,Female,65910,84,Basic,12.2,0
CUST1002,Dennis Price,63,Male,56731,51,Silver,2.9,1
CUST1003,Jessica Jones,23,Female,40559,56,Platinum,11.1,0
CUST1004,Kevin Bauer,38,Male,79675,74,Basic,10.7,0
CUST1005,Carol Alvarez,34,Female,67437,20,Silver,5.7,0
CUST1006,Alex Cunningham,49,Male,62752,44,Silver,8.6,1
CUST1007,Dennis Hill,41,Female,63584,90,Silver,3.8,0
CUST1008,Kayla Jacobson,51,Male,79024,100,Platinum,10.8,0
CUST1009,Kevin Barrera,55,Male,25376,70,Gold,14.1,0
CUST1010,Stephanie Acevedo,32,Female,73544,50,Platinum,10.4,1
CUST1011,Kimberly Jacobs,58,Female,41485,97,Basic,7.7,0
CUST1012,William Kennedy,34,Female,61485,81,Basic,2.2,0
CUST1013,Kelly Frazier,58,Female,49830,7,Silver,2.7,1
CUST1014,Ronnie Mitchell,21,Female,48887,29,Platinum,6.5,1
CUST1015,Scott Haynes,21,Female,53513,74,Basic,8.1,1
CUST1016,Daniel Ward,66,Male,62652,61,Gold,10.9,0
CUST1017,Mary Wise,60,Male,73290,37,Basic,7.4,0
CUST1018,James Alexander,41,Female,76254,16,Basic,4.6,1
CUST1019,Luis Turner,47,Male,49062,26,Basic,1.6,1
CUST1020,Chris Floyd,49,Female,60834,33,Basic,13.6,0
CUST1021,Matthew Finley,54,Male,65307,18,Basic,3.8,1
CUST1022,Mary Brown,22,Female,69983,7,Gold,7.3,0
CUST1023,Thomas Farmer,43,Female,72742,22,Gold,3.8,1
CUST1024,Dominique Miller,31,Male,36426,75,Silver,9.8,1
CUST1025,Rachel Little,26,Female,49862,30,Gold,6.4,0
CUST1026,Christopher Anderson,69,Female,52327,82,Basic,3.1,0
CUST1027,Antonio Freeman,30,Male,44048,45,Platinum,14.3,0
CUST1028,Virginia Lin,60,Female,75712,7,Silver,7.8,1
CUST1029,David Jones,44,Male,43151,81,Gold,10.3,0
CUST1030,Sharon Sanders,48,Female,31711,23,Silver,12.5,1
CUST1031,Michael Watkins,30,Female,41205,33,Silver,6.4,1
CUST1032,John Boyd,45,Male,55618,44,Silver,5.1,1
CUST1033,Justin Wilson,32,Male,81396,69,Silver,2.2,0
CUST1034,Mr. Charles Harper,34,Male,78130,89,Gold,9.5,0
CUST1035,Brandi Hamilton,21,Male,71818,34,Silver,9.6,0
CUST1036,Thomas Torres,67,Female,51439,98,Platinum,7.7,0
CUST1037,Todd Duran,39,Male,51647,12,Silver,3.0,1
CUST1038,Patrick Davis,26,Female,54216,8,Silver,11.6,0
CUST1039,Kayla Bauer,18,Male,71183,18,Gold,12.3,0
CUST1040,Connor Torres,34,Female,69622,74,Basic,14.4,0
CUST1041,Jennifer Beck,43,Male,54506,100,Silver,3.0,1
CUST1042,Michaela Miller,40,Male,55907,15,Basic,1.1,1
CUST1043,Ashley Luna,61,Male,64071,88,Gold,12.2,0
CUST1044,Rhonda Mckinney,53,Female,62762,17,Gold,9.1,0
CUST1045,Sandra Garner,67,Female,47056,88,Basic,14.5,0
CUST1046,Molly Reyes,29,Female,45600,42,Basic,1.2,0
CUST1047,Edward Pearson,18,Male,44377,69,Gold,8.7,1
CUST1048,Ricardo Garcia,39,Male,55556,81,Gold,5.3,0
CUST1049,Todd Torres,30,Male,56228,30,Basic,3.0,1
CUST1050,Michael Hopkins,37,Male,51315,57,Platinum,12.1,1
CUST1051,Amanda Cardenas,43,Female,54196,19,Basic,11.7,0
CUST1052,Daniel Krueger,24,Female,70974,13,Gold,11.1,0
CUST1053,Rebekah Weber,57,Female,49547,24,Platinum,8.9,0
CUST1054,Joseph Mills,51,Female,55793,2,Gold,12.5,0
CUST1055,Sara Dominguez,42,Male,68697,45,Gold,2.7,0
CUST1056,Colton Adams,38,Female,76286,62,Platinum,8.8,1
CUST1057,Monica Carney,22,Male,48930,6,Basic,7.4,1
CUST1058,Linda Jordan,46,Female,31847,41,Basic,2.4,0
CUST1059,Tammy Hammond,69,Male,79478,48,Silver,14.7,0
CUST1060,Jacqueline Carter,38,Male,56338,24,Gold,6.7,0
CUST1061,Steve Robinson,40,Female,59068,66,Silver,4.6,0
CUST1062,Martha Rogers,64,Female,45913,85,Silver,11.7,0
CUST1063,Jenna Mills,25,Female,55695,64,Basic,2.1,0
CUST1064,John Hunter,35,Female,64125,48,Basic,9.4,0
CUST1065,Amy Sanders,53,Female,67877,19,Basic,9.6,0
CUST1066,Rebecca Washington,56,Male,62012,2,Gold,3.1,1
CUST1067,Gabrielle Chavez,26,Female,51418,21,Silver,4.5,1
CUST1068,Paula Evans,50,Female,59244,18,Silver,6.1,1
CUST1069,Meredith Gaines,34,Female,71008,56,Basic,9.5,1
CUST1070,Erin Garza,46,Male,69844,64,Silver,8.7,1
CUST1071,John Carey,41,Male,73991,14,Gold,14.5,0
CUST1072,Amanda Jensen,25,Male,80527,34,Silver,5.5,1
CUST1073,Johnny Collins,23,Male,49362,7,Basic,11.1,1
CUST1074,Amy Taylor,34,Male,72043,69,Basic,4.9,1
CUST1075,Garrett Blackwell,59,Male,74978,69,Basic,7.5,0
CUST1076,Kathy Stokes,28,Male,45922,31,Silver,13.6,1
CUST1077,Jeffrey Davis MD,18,Male,50290,82,Platinum,2.5,1
CUST1078,Michele Gallegos,57,Male,65753,62,Basic,10.2,1
CUST1079,Sara Torres,22,Female,54598,93,Platinum,11.7,0
CUST1080,Scott Holden,28,Male,40390,37,Gold,7.8,1
CUST1081,John Wise,48,Female,46573,48,Silver,2.4,1
CUST1082,Russell Jenkins DDS,27,Female,37156,94,Platinum,12.4,0
CUST1083,Todd Stafford,51,Female,62349,96,Gold,13.8,0
CUST1084,Tracey Reyes,32,Male,64018,88,Basic,11.2,0
CUST1085,Savannah Moran,24,Male,53128,12,Silver,1.2,1
CUST1086,Angela Bowman,59,Male,80052,90,Gold,10.2,0
CUST1087,Charles Atkinson,36,Male,57857,8,Silver,5.7,0
CUST1088,Anthony Watson,43,Male,65154,62,Basic,10.4,0
CUST1089,Ronald Ball,43,Male,72479,80,Basic,12.1,0
CUST1090,Katherine Wilson,22,Female,64147,4,Gold,8.0,0
CUST1091,Christine Green,47,Female,51969,86,Basic,9.6,0
CUST1092,Caleb Bentley,50,Male,75324,32,Silver,12.2,0
CUST1093,Jacob Baker,48,Male,56297,93,Basic,5.8,0
CUST1094,Travis Campbell,59,Female,70425,42,Gold,5.5,0
CUST1095,Anthony Moore,35,Male,40919,98,Basic,14.4,0
CUST1096,Christopher Gutierrez,43,Female,37240,88,Silver,9.6,0
CUST1097,David Cunningham,41,Male,80731,24,Basic,5.3,0
CUST1098,Mathew Estrada,66,Female,58044,100,Platinum,1.5,1
CUST1099,Melissa Shah,57,Female,57474,54,Gold,4.4,0
CUST1100,Michael Lane,44,Female,57162,89,Silver,11.5,0
CUST1101,Justin Garcia,59,Male,52854,52,Silver,6.9,1
CUST1102,Cynthia Kline,66,Male,57776,6,Platinum,1.7,1
CUST1103,Kerry Long,52,Female,81397,56,Gold,12.7,0
CUST1104,Abigail Krause,40,Female,42245,65,Basic,10.5,0
CUST1105,Angel Burton,45,Male,43441,41,Silver,14.3,0
CUST1106,Deborah Kane,19,Male,54833,22,Platinum,7.0,0
CUST1107,April Williams,32,Male,61153,12,Basic,11.2,1
CUST1108,Gina Weeks,53,Male,68879,81,Basic,3.3,0
CUST1109,Emily Hardin,25,Male,61923,57,Basic,1.1,1
CUST1110,Daniel White,31,Female,57907,41,Silver,3.7,1
CUST1111,Mary West,53,Female,77052,58,Silver,11.8,0
CUST1112,John Chen,27,Female,70289,2,Basic,2.0,1
CUST1113,Steven Jones,53,Male,61466,96,Silver,4.7,0
CUST1114,Morgan Mckinney,37,Female,39130,47,Basic,5.2,0
CUST1115,Jeanne Miller,57,Female,60012,69,Gold,10.5,1
CUST1116,Renee Lewis,57,Male,62228,54,Gold,10.7,0
CUST1117,Brandon Miller,68,Female,70510,76,Gold,3.8,0
CUST1118,Melissa Davenport,59,Female,38242,57,Gold,12.8,0
CUST1119,Anthony Robinson,34,Female,49468,82,Platinum,4.8,0
CUST1120,Mrs. Shannon Campbell,50,Female,85475,94,Basic,10.5,0
CUST1121,Alec Smith,50,Male,52975,4,Gold,5.0,0
CUST1122,Elizabeth Suarez,64,Male,43156,33,Gold,1.7,1
CUST1123,Jeffery Camacho,25,Male,49673,89,Gold,6.5,0
CUST1124,Lauren Green,62,Male,49163,83,Silver,7.4,1
CUST1125,Kyle Lopez,63,Male,80442,27,Basic,12.2,0
CUST1126,Scott Ortiz,62,Male,57960,33,Basic,5.2,0
CUST1127,Sonya Berger,24,Male,63783,20,Basic,6.0,1
CUST1128,Elizabeth Dunn,68,Female,38948,87,Basic,6.7,0
CUST1129,Isaiah Walker,67,Male,40001,23,Silver,6.2,0
CUST1130,Michael Hubbard,68,Male,65597,84,Basic,3.3,0
CUST1131,Michael Adams,37,Male,57915,50,Platinum,12.5,0
CUST1132,Diana Byrd,50,Female,46570,42,Basic,10.8,1
CUST1133,Heather Huang,50,Male,56051,13,Platinum,9.2,0
CUST1134,Benjamin Obrien,25,Female,91684,23,Basic,13.7,0
CUST1135,Terry Gonzalez,43,Male,56558,61,Gold,6.6,0
CUST1136,Elizabeth Swanson,39,Male,53433,94,Gold,11.7,0
CUST1137,Tonya Hoover,57,Male,61105,54,Basic,3.4,0
CUST1138,Michael Miller,34,Female,47966,80,Basic,12.3,0
CUST1139,Joseph Smith,63,Male,46453,25,Silver,12.9,0
CUST1140,Robert Todd,64,Male,56669,28,Silver,5.0,0
CUST1141,Abigail Wheeler,49,Female,9857,13,Basic,3.1,1
CUST1142,Brittany Raymond,37,Female,44044,50,Platinum,4.6,0
CUST1143,Jeffery Crawford,65,Female,65920,68,Basic,12.4,1
CUST1144,Timothy Gamble,57,Female,54128,58,Basic,12.1,0
CUST1145,Susan Brooks,26,Male,56068,18,Basic,2.4,1
CUST1146,Alexandra Garza,67,Male,48245,31,Gold,6.7,0
CUST1147,Allen Ashley,23,Male,50117,95,Silver,5.2,0
CUST1148,Phillip Lucas,18,Male,48428,67,Gold,10.8,0
CUST1149,Kristi White,52,Female,47750,94,Basic,12.5,0
CUST1150,Rachel Austin,60,Male,42692,28,Gold,3.2,1
CUST1151,Raymond Benton,27,Female,73303,7,Platinum,3.5,1
CUST1152,Scott Wilkins,67,Male,77027,49,Platinum,6.2,0
CUST1153,Dennis Jordan,38,Female,49103,56,Gold,6.3,0
CUST1154,Matthew Knight,38,Male,69660,8,Gold,2.4,1
CUST1155,Jennifer Pratt,69,Male,58532,16,Basic,9.5,0
CUST1156,Luke Nelson,65,Female,64289,32,Basic,1.1,1
CUST1157,Ryan Hunter,32,Male,59280,81,Basic,6.5,0
CUST1158,Heather Deleon,61,Female,57848,70,Basic,11.1,1
CUST1159,Melissa Figueroa,63,Male,74142,80,Platinum,13.7,0
CUST1160,Melissa Russell,23,Female,62624,91,Gold,11.6,0
CUST1161,Kristin Nash,37,Female,56562,59,Platinum,1.9,0
CUST1162,Jeffrey Hansen,20,Male,48963,28,Silver,7.5,0
CUST1163,Natalie Mckee,41,Male,63079,97,Platinum,7.8,1
CUST1164,Jared Moore,38,Female,46265,92,Gold,13.4,0
CUST1165,James Hodges,64,Male,85928,89,Gold,3.3,0
CUST1166,Felicia Duran,52,Female,57017,79,Platinum,13.8,0
CUST1167,David Stephens,21,Male,84331,13,Gold,4.1,1
CUST1168,Latoya Washington,68,Female,38116,75,Gold,8.1,0
CUST1169,Diamond Williams,46,Female,40707,98,Gold,9.5,0
CUST1170,Jacob Davis,38,Male,72067,26,Silver,12.5,0
CUST1171,Angela Melendez,25,Male,67850,90,Silver,3.5,0
CUST1172,Pamela Mccullough,42,Female,68519,97,Silver,3.1,0
CUST1173,Robin Perez,40,Female,76310,18,Gold,4.8,1
CUST1174,Jordan Thompson,46,Male,76597,2,Silver,6.4,1
CUST1175,Jay Nichols,41,Female,62379,57,Platinum,11.6,1
CUST1176,Melissa Marquez,29,Male,57337,2,Silver,6.0,1
CUST1177,Alicia Payne,53,Male,54467,50,Gold,9.1,0
